binary,name,va,size,type,bind,shndx
SLUS_204.69,gcc2_compiled.,0xa00000,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa00000,0,NOTYPE,LOCAL,1
SLUS_204.69,device_check_sync,0xa00000,64,FUNC,LOCAL,1
SLUS_204.69,carddata.0,0xa0f680,16,OBJECT,LOCAL,1
SLUS_204.69,hdd_check,0xa00040,704,FUNC,LOCAL,1
SLUS_204.69,mc_check,0xa00300,872,FUNC,LOCAL,1
SLUS_204.69,TestEnv.1,0xa0f690,144,OBJECT,LOCAL,1
SLUS_204.69,ipuplay,0xa006c8,304,FUNC,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa00850,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa00850,0,NOTYPE,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa00858,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa00858,0,NOTYPE,LOCAL,1
SLUS_204.69,TitleMenuSelect,0xa0f720,1,OBJECT,LOCAL,1
SLUS_204.69,copyframe,0xa00858,296,FUNC,LOCAL,1
SLUS_204.69,build_mipmap,0xa00980,916,FUNC,LOCAL,1
SLUS_204.69,particle_reset,0xa00d18,256,FUNC,LOCAL,1
SLUS_204.69,TestEnv.0,0xa0f780,96,OBJECT,LOCAL,1
SLUS_204.69,TransEnv.1,0xa0f7e0,32,OBJECT,LOCAL,1
SLUS_204.69,FlushEnv.2,0xa0f800,48,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.3,0xa0f830,176,OBJECT,LOCAL,1
SLUS_204.69,image.4,0xa0f8e0,288,OBJECT,LOCAL,1
SLUS_204.69,FlushEnv.5,0xa0fa00,48,OBJECT,LOCAL,1
SLUS_204.69,TestEnvOrg.6,0xa0fa30,112,OBJECT,LOCAL,1
SLUS_204.69,x.7,0xa0faa0,4,OBJECT,LOCAL,1
SLUS_204.69,y.8,0xa0faa4,4,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.9,0xa0fab0,400,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.10,0xa0fc40,96,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.11,0xa0fca0,208,OBJECT,LOCAL,1
SLUS_204.69,TestEnv.12,0xa0fd70,160,OBJECT,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa017a0,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa017a0,0,NOTYPE,LOCAL,1
SLUS_204.69,gcc2_compiled.,0xa017f0,0,NOTYPE,LOCAL,1
SLUS_204.69,__gnu_compiled_c,0xa017f0,0,NOTYPE,LOCAL,1
SLUS_204.69,TestEnv.0,0xa0fe10,96,OBJECT,LOCAL,1
SLUS_204.69,TransEnv.1,0xa0fe70,32,OBJECT,LOCAL,1
SLUS_204.69,FlushEnv.2,0xa0fe90,48,OBJECT,LOCAL,1
SLUS_204.69,HddInstallSync,0xa017f0,312,FUNC,LOCAL,1
SLUS_204.69,HddInstallParam,0xa13658,0,NOTYPE,LOCAL,1
SLUS_204.69,count.3,0xa13654,0,NOTYPE,LOCAL,1
SLUS_204.69,anim.4,0xa0fec0,4,OBJECT,LOCAL,1
SLUS_204.69,sztmp.5,0xa0fec8,3,OBJECT,LOCAL,1
SLUS_204.69,sztmp.6,0xa0fed0,6,OBJECT,LOCAL,1
SLUS_204.69,HddInstallCB,0xa01928,1104,FUNC,LOCAL,1
